# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,999.403
# Requested Duration (s):,5.0
# Actual Duration (s):,5.05
# REST Calibration:,832.0600347222207,831.6700347222207,832.6898611111126
# MAX Calibration:,886.0000,887.0000,888.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.001113,0.005964,0.005607
1,-0.019652,0.005964,0.005607
2,0.017426,0.005964,0.005607
3,-0.001113,0.005964,0.023687
4,-0.001113,0.005964,-0.030552
5,0.017426,0.005964,0.005607
6,-0.019652,0.005964,0.041767
7,-0.019652,0.005964,0.005607
8,-0.001113,0.024037,-0.030552
9,-0.001113,-0.01211,-0.030552
10,-0.001113,0.005964,-0.012473
11,-0.019652,0.024037,-0.030552
12,-0.001113,0.024037,-0.030552
13,-0.001113,0.005964,-0.012473
14,-0.001113,0.005964,-0.012473
15,-0.001113,0.024037,-0.012473
16,-0.019652,0.005964,0.005607
17,-0.001113,0.005964,0.023687
18,-0.001113,0.005964,-0.030552
19,-0.019652,0.005964,0.005607
20,-0.001113,0.005964,0.023687
21,0.017426,-0.01211,0.023687
22,-0.019652,0.024037,-0.012473
23,-0.001113,-0.01211,0.005607
24,0.035965,0.005964,0.005607
25,0.017426,0.005964,-0.012473
26,-0.001113,-0.01211,-0.012473
27,0.017426,0.005964,0.023687
28,-0.001113,-0.01211,0.005607
29,-0.038191,-0.01211,-0.012473
30,-0.001113,0.024037,-0.012473
31,-0.001113,0.005964,0.005607
32,-0.001113,0.005964,-0.012473
33,-0.001113,0.005964,-0.030552
34,-0.001113,0.005964,0.005607
35,-0.001113,-0.030183,0.023687
36,-0.001113,0.005964,0.005607
37,0.017426,-0.01211,0.023687
38,-0.001113,0.005964,0.023687
39,-0.019652,0.005964,0.023687
40,-0.019652,0.005964,0.023687
41,-0.001113,-0.01211,0.005607
42,-0.001113,0.005964,0.023687
43,-0.001113,0.005964,-0.012473
44,-0.001113,0.005964,-0.012473
45,0.017426,0.005964,0.023687
46,0.017426,0.024037,-0.012473
47,-0.001113,0.005964,-0.012473
48,-0.019652,-0.01211,-0.012473
49,0.035965,0.024037,-0.012473
50,-0.019652,0.005964,-0.012473
51,-0.001113,-0.030183,-0.030552
52,0.017426,0.024037,0.005607
53,-0.001113,0.024037,0.023687
54,0.017426,0.005964,-0.030552
55,-0.019652,-0.01211,0.023687
56,-0.001113,-0.030183,0.005607
57,-0.019652,0.005964,0.005607
58,-0.001113,0.005964,0.005607
59,-0.001113,0.005964,0.005607
60,0.017426,-0.01211,-0.012473
61,-0.019652,0.005964,0.023687
62,0.017426,0.005964,0.023687
63,-0.001113,0.024037,-0.012473
64,-0.001113,0.005964,0.041767
65,-0.001113,0.005964,0.005607
66,-0.019652,0.005964,-0.012473
67,-0.019652,0.005964,-0.012473
68,-0.001113,-0.01211,0.023687
69,0.017426,0.005964,0.005607
70,-0.019652,0.024037,-0.012473
71,-0.001113,0.024037,0.005607
72,-0.001113,0.005964,0.005607
73,-0.019652,0.005964,-0.030552
74,-0.019652,0.024037,0.005607
75,0.017426,-0.01211,0.005607
76,-0.001113,0.005964,0.023687
77,-0.019652,0.024037,0.005607
78,-0.019652,0.005964,0.005607
79,-0.001113,0.005964,0.041767
80,0.017426,0.005964,0.005607
81,-0.001113,-0.01211,-0.012473
82,-0.001113,0.005964,0.023687
83,0.017426,0.005964,0.005607
84,-0.001113,0.024037,-0.012473
85,0.035965,0.024037,-0.030552
86,-0.001113,0.024037,0.023687
87,-0.001113,-0.01211,0.005607
88,-0.001113,-0.01211,-0.012473
89,0.017426,-0.01211,0.005607
90,-0.001113,0.005964,0.005607
91,-0.001113,0.024037,-0.030552
92,-0.019652,0.005964,0.005607
93,-0.001113,0.005964,0.023687
94,-0.019652,-0.01211,0.023687
95,-0.019652,0.005964,0.005607
96,-0.038191,0.005964,0.023687
97,-0.001113,0.005964,0.041767
98,0.017426,0.005964,-0.012473
99,-0.001113,-0.01211,0.023687
100,-0.001113,0.005964,0.023687
101,-0.001113,0.005964,0.005607
102,-0.001113,-0.01211,-0.012473
103,-0.019652,0.005964,0.005607
104,-0.001113,0.024037,-0.012473
105,-0.019652,0.005964,0.005607
106,-0.001113,0.005964,0.005607
107,-0.019652,-0.01211,0.005607
108,-0.001113,0.005964,-0.030552
109,-0.019652,-0.01211,-0.012473
110,-0.001113,0.005964,-0.012473
111,-0.001113,0.005964,0.005607
112,-0.019652,0.005964,0.023687
113,-0.001113,0.005964,0.023687
114,-0.001113,0.005964,0.023687
115,-0.038191,0.005964,0.023687
116,-0.019652,-0.01211,0.005607
117,-0.019652,0.024037,0.041767
118,-0.001113,0.024037,0.023687
119,-0.019652,0.005964,0.005607
120,-0.001113,0.005964,0.005607
121,-0.019652,0.005964,0.023687
122,-0.019652,0.005964,0.005607
123,0.017426,0.005964,-0.012473
124,-0.001113,0.005964,-0.030552
125,-0.001113,0.005964,0.005607
126,-0.001113,0.005964,-0.030552
127,0.017426,-0.01211,0.005607
128,-0.001113,-0.01211,0.005607
129,-0.001113,0.005964,0.023687
130,0.017426,0.005964,-0.012473
131,0.017426,0.005964,0.005607
132,-0.001113,-0.01211,0.023687
133,-0.001113,0.005964,0.023687
134,-0.001113,0.005964,0.005607
135,-0.001113,0.005964,0.005607
136,-0.001113,0.005964,0.023687
137,-0.001113,0.024037,0.005607
138,-0.001113,0.005964,-0.012473
139,-0.019652,0.005964,0.005607
140,0.017426,0.005964,0.005607
141,-0.019652,0.024037,-0.012473
142,-0.001113,-0.01211,-0.030552
