# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,999.135
# Requested Duration (s):,5.0
# Actual Duration (s):,5.046
# REST Calibration:,832.0600347222207,831.6700347222207,832.6898611111126
# MAX Calibration:,886.0000,887.0000,888.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.001113,0.005964,0.005607
1,-0.019652,0.096331,-0.012473
2,-0.019652,0.005964,-0.012473
3,-0.019652,-0.01211,0.005607
4,-0.001113,-0.01211,0.005607
5,0.017426,0.005964,-0.012473
6,-0.019652,0.005964,-0.012473
7,-0.001113,0.005964,0.005607
8,-0.001113,-0.01211,-0.012473
9,-0.001113,0.005964,-0.012473
10,0.017426,0.005964,0.005607
11,0.017426,0.005964,0.005607
12,-0.001113,0.005964,0.005607
13,-0.001113,0.005964,0.023687
14,-0.001113,0.005964,0.023687
15,-0.001113,0.005964,0.059847
16,-0.019652,0.005964,0.077927
17,-0.019652,0.024037,0.041767
18,-0.019652,0.024037,0.023687
19,-0.038191,0.005964,-0.012473
20,-0.038191,-0.01211,-0.030552
21,-0.001113,0.005964,-0.012473
22,0.035965,0.005964,-0.012473
23,0.073044,0.024037,-0.012473
24,0.054504,0.005964,0.005607
25,0.035965,0.005964,0.023687
26,-0.001113,0.024037,0.005607
27,0.017426,0.005964,0.005607
28,-0.019652,0.005964,0.005607
29,-0.001113,0.005964,0.041767
30,-0.001113,-0.01211,0.005607
31,-0.001113,0.005964,0.005607
32,-0.019652,-0.01211,0.005607
33,-0.019652,0.005964,0.005607
34,-0.001113,0.005964,-0.012473
35,-0.038191,-0.030183,-0.048632
36,-0.001113,0.005964,-0.048632
37,-0.001113,0.005964,-0.048632
38,-0.001113,0.005964,-0.030552
39,-0.019652,0.005964,0.005607
40,-0.001113,0.005964,-0.012473
41,-0.019652,-0.01211,0.005607
42,0.017426,0.005964,0.005607
43,0.017426,-0.01211,0.005607
44,-0.019652,0.005964,0.005607
45,-0.019652,0.005964,0.005607
46,-0.019652,0.005964,-0.012473
47,-0.001113,0.005964,0.023687
48,-0.001113,-0.01211,0.005607
49,-0.019652,0.005964,0.023687
50,-0.001113,0.005964,0.005607
51,-0.001113,0.005964,0.023687
52,-0.001113,0.005964,0.041767
53,-0.001113,0.005964,0.023687
54,-0.038191,0.005964,0.005607
55,-0.001113,0.005964,0.041767
56,-0.001113,0.005964,-0.012473
57,-0.001113,0.005964,0.005607
58,-0.001113,0.005964,0.023687
59,-0.001113,0.024037,0.023687
60,-0.001113,0.024037,0.023687
61,0.017426,0.005964,0.023687
62,0.017426,0.005964,0.005607
63,-0.001113,0.005964,0.005607
64,-0.001113,0.005964,-0.012473
65,-0.001113,-0.01211,0.005607
66,-0.001113,0.005964,-0.048632
67,-0.001113,0.024037,-0.012473
68,-0.001113,0.005964,-0.030552
69,-0.001113,0.005964,-0.012473
70,-0.001113,-0.01211,-0.012473
71,-0.001113,0.005964,0.005607
72,-0.001113,-0.01211,-0.012473
73,-0.001113,0.005964,0.005607
74,-0.001113,-0.01211,0.005607
75,-0.001113,0.005964,-0.012473
76,-0.019652,-0.01211,0.005607
77,-0.001113,0.005964,0.023687
78,-0.019652,0.005964,0.023687
79,-0.001113,0.024037,0.041767
80,-0.001113,0.024037,0.041767
81,-0.001113,0.005964,0.023687
82,-0.001113,0.005964,-0.012473
83,0.017426,0.005964,0.005607
84,0.017426,0.005964,0.005607
85,-0.019652,0.005964,-0.030552
86,-0.001113,0.005964,-0.048632
87,-0.001113,0.005964,-0.030552
88,-0.038191,0.005964,-0.012473
89,-0.001113,0.005964,-0.048632
90,-0.001113,-0.01211,0.005607
91,-0.001113,-0.01211,-0.012473
92,-0.019652,0.005964,0.005607
93,-0.001113,0.024037,0.023687
94,-0.019652,0.005964,0.077927
95,0.017426,0.005964,0.059847
96,-0.001113,0.024037,0.041767
97,0.017426,0.005964,-0.012473
98,-0.001113,-0.01211,0.005607
99,-0.001113,-0.01211,-0.030552
100,-0.001113,0.005964,-0.030552
101,-0.001113,0.005964,-0.030552
102,-0.001113,-0.01211,-0.048632
103,-0.019652,0.024037,-0.012473
104,-0.001113,0.024037,0.005607
105,-0.019652,0.04211,0.023687
106,-0.019652,0.005964,0.023687
107,-0.001113,0.005964,0.005607
108,0.017426,-0.01211,0.041767
109,-0.019652,0.005964,0.041767
110,-0.001113,-0.01211,0.005607
111,-0.019652,-0.01211,0.005607
112,0.017426,0.005964,0.005607
113,-0.019652,0.04211,0.023687
114,-0.001113,0.005964,-0.012473
115,-0.019652,0.024037,0.005607
116,0.017426,0.024037,0.005607
117,-0.019652,-0.01211,0.023687
118,-0.001113,0.005964,0.005607
119,-0.001113,0.005964,0.005607
120,-0.001113,-0.01211,0.023687
121,-0.001113,-0.01211,0.005607
122,-0.019652,-0.01211,0.005607
123,-0.001113,0.005964,0.023687
124,-0.019652,0.005964,0.005607
125,0.017426,0.005964,0.005607
126,-0.001113,0.005964,-0.012473
127,0.017426,0.005964,-0.012473
128,-0.001113,-0.01211,-0.012473
129,-0.001113,-0.01211,-0.030552
130,-0.019652,-0.01211,-0.030552
131,-0.001113,0.005964,-0.012473
132,-0.001113,0.005964,0.005607
133,-0.001113,0.005964,-0.012473
134,-0.001113,0.005964,0.023687
135,-0.019652,0.005964,0.023687
136,0.017426,0.005964,0.005607
137,-0.019652,-0.01211,-0.030552
138,-0.001113,0.024037,-0.030552
139,0.017426,-0.01211,-0.012473
140,-0.001113,0.005964,0.023687
141,-0.001113,0.005964,0.041767
142,0.017426,0.005964,0.023687
143,-0.001113,-0.01211,0.023687
144,-0.001113,0.024037,0.005607
145,0.017426,0.005964,0.005607
146,0.017426,0.005964,-0.012473
147,-0.019652,-0.01211,0.005607
148,-0.019652,0.024037,0.005607
149,-0.038191,0.024037,-0.012473
150,-0.038191,-0.01211,-0.012473
151,-0.019652,0.005964,-0.012473
152,-0.038191,-0.01211,-0.012473
153,-0.019652,-0.01211,-0.012473
154,0.035965,0.005964,-0.012473
155,0.073044,0.024037,-0.012473
156,0.035965,-0.01211,0.005607
157,0.017426,-0.030183,0.023687
158,-0.001113,0.005964,0.041767
159,-0.001113,0.024037,0.041767
160,0.017426,0.024037,0.023687
161,-0.001113,0.005964,0.041767
162,0.017426,0.024037,0.005607
163,-0.001113,0.005964,-0.012473
164,-0.001113,-0.01211,-0.030552
165,-0.001113,0.005964,-0.048632
166,-0.019652,-0.01211,-0.012473
167,0.017426,0.005964,0.005607
168,-0.001113,-0.01211,0.005607
169,-0.001113,0.024037,0.023687
170,-0.001113,0.005964,0.023687
171,0.017426,0.005964,0.005607
172,0.017426,0.005964,-0.012473
173,-0.019652,0.005964,0.023687
174,-0.001113,-0.01211,0.005607
175,-0.001113,-0.01211,-0.012473
176,-0.001113,0.005964,-0.012473
177,-0.001113,0.005964,-0.012473
178,-0.001113,0.005964,-0.030552
179,-0.019652,0.005964,-0.012473
180,0.017426,-0.01211,-0.048632
181,-0.019652,0.005964,-0.030552
182,0.017426,0.005964,-0.012473
183,-0.038191,0.005964,0.005607
184,-0.001113,0.005964,0.005607
185,-0.001113,0.024037,0.023687
186,-0.001113,0.005964,0.023687
187,-0.001113,0.005964,0.023687
188,-0.001113,0.005964,0.005607
189,0.017426,0.005964,0.005607
190,-0.019652,-0.01211,0.005607
191,0.017426,0.024037,-0.012473
192,-0.019652,0.096331,0.005607
193,-0.019652,0.005964,0.005607
194,-0.019652,0.005964,-0.012473
195,-0.001113,0.024037,0.005607
196,-0.001113,0.005964,0.023687
197,0.035965,-0.01211,0.023687
198,-0.019652,0.005964,0.023687
199,-0.019652,-0.01211,-0.030552
