# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,999.76
# Requested Duration (s):,5.0
# Actual Duration (s):,5.046
# REST Calibration:,832.0600347222207,831.6700347222207,832.6898611111126
# MAX Calibration:,886.0000,887.0000,888.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.001113,0.005964,-0.012473
1,-0.001113,-0.01211,-0.012473
2,-0.001113,-0.01211,0.023687
3,-0.019652,0.005964,0.023687
4,-0.001113,-0.01211,-0.012473
5,-0.001113,0.024037,0.023687
6,-0.001113,-0.01211,-0.012473
7,-0.019652,0.005964,0.005607
8,-0.019652,0.005964,0.005607
9,-0.019652,0.005964,0.023687
10,-0.001113,0.005964,0.023687
11,-0.038191,0.024037,-0.012473
12,-0.019652,0.005964,0.005607
13,-0.038191,0.005964,0.005607
14,-0.038191,-0.030183,-0.030552
15,-0.019652,-0.01211,-0.012473
16,0.035965,-0.01211,-0.012473
17,0.091583,0.005964,-0.012473
18,0.054504,-0.01211,-0.012473
19,0.035965,0.024037,-0.030552
20,-0.001113,0.024037,0.023687
21,-0.019652,-0.01211,0.005607
22,-0.019652,0.005964,0.005607
23,-0.038191,0.005964,0.023687
24,-0.019652,0.005964,0.023687
25,-0.001113,0.024037,0.041767
26,-0.001113,-0.01211,0.041767
27,0.017426,0.005964,0.041767
28,-0.019652,-0.01211,-0.030552
29,-0.038191,-0.01211,-0.012473
30,-0.019652,-0.01211,0.005607
31,-0.038191,0.005964,-0.012473
32,-0.038191,-0.01211,-0.012473
33,-0.038191,-0.01211,-0.012473
34,-0.038191,0.005964,-0.030552
35,-0.001113,0.005964,-0.012473
36,0.035965,0.005964,-0.030552
37,0.017426,0.024037,0.005607
38,0.035965,-0.01211,-0.012473
39,0.017426,0.005964,0.023687
40,-0.001113,0.005964,0.041767
41,-0.019652,0.005964,0.041767
42,-0.05673,-0.01211,0.023687
43,0.017426,0.005964,0.023687
44,-0.001113,0.005964,0.041767
45,-0.001113,0.005964,0.005607
46,-0.001113,-0.01211,0.005607
47,-0.001113,0.005964,0.005607
48,-0.001113,-0.01211,-0.012473
49,-0.019652,0.005964,-0.012473
50,0.017426,-0.01211,-0.030552
