# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.727
# Requested Duration (s):,5.0
# Actual Duration (s):,5.048
# REST Calibration:,831.4595862068991,832.6049655172403,833.6698965517227
# MAX Calibration:,875.0000,896.0000,903.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,0.012412,-0.009543,-0.009662
1,-0.010555,-0.009543,-0.009662
2,-0.010555,0.022005,0.004761
3,0.012412,-0.009543,0.019185
4,0.012412,-0.009543,0.004761
5,0.012412,-0.025317,0.019185
6,0.012412,-0.025317,0.019185
7,0.012412,0.006231,-0.009662
8,-0.033523,-0.009543,-0.009662
9,-0.033523,-0.025317,-0.009662
10,-0.010555,-0.009543,0.004761
11,-0.010555,-0.025317,0.004761
12,0.012412,0.006231,0.004761
13,-0.033523,0.006231,0.004761
14,0.012412,-0.009543,-0.009662
15,0.012412,-0.025317,0.004761
16,0.035379,-0.009543,0.004761
17,0.012412,0.022005,0.004761
18,0.035379,0.006231,0.019185
19,0.035379,-0.009543,-0.009662
20,0.012412,-0.009543,-0.009662
21,0.012412,-0.025317,0.004761
22,0.035379,-0.009543,0.004761
23,0.035379,-0.009543,0.004761
24,0.012412,-0.009543,0.004761
25,0.035379,0.006231,-0.009662
26,0.012412,-0.009543,0.004761
27,0.012412,-0.009543,-0.009662
28,-0.010555,-0.025317,-0.009662
29,-0.05649,-0.009543,0.004761
30,0.012412,-0.009543,-0.009662
31,-0.033523,-0.025317,-0.009662
32,-0.033523,-0.025317,0.004761
33,0.012412,-0.009543,0.004761
34,-0.010555,-0.025317,-0.009662
35,-0.010555,-0.025317,0.004761
36,-0.010555,-0.009543,-0.009662
37,0.012412,-0.009543,-0.009662
38,-0.010555,-0.009543,0.004761
39,-0.010555,-0.009543,0.004761
40,0.035379,-0.009543,0.004761
41,0.012412,-0.009543,0.004761
42,-0.010555,-0.009543,0.004761
43,0.012412,-0.009543,0.004761
44,0.012412,-0.009543,0.004761
45,0.035379,-0.009543,-0.009662
46,0.012412,-0.009543,-0.009662
47,-0.010555,-0.009543,0.004761
48,0.012412,-0.009543,0.004761
49,-0.010555,0.006231,0.004761
50,-0.010555,-0.009543,0.004761
51,0.012412,-0.009543,-0.009662
52,0.035379,-0.009543,-0.009662
53,0.035379,-0.009543,0.004761
54,0.035379,0.006231,-0.009662
55,0.012412,0.006231,0.004761
56,0.035379,-0.009543,0.004761
57,0.035379,-0.009543,0.004761
58,0.012412,-0.009543,-0.024086
59,-0.033523,-0.009543,0.004761
60,0.012412,0.006231,0.004761
61,-0.033523,-0.009543,0.004761
62,-0.010555,-0.009543,-0.009662
63,-0.010555,-0.041091,-0.009662
64,-0.010555,-0.025317,0.004761
65,-0.033523,-0.009543,-0.009662
66,-0.05649,-0.009543,-0.009662
67,-0.033523,0.006231,0.004761
68,0.012412,-0.009543,0.019185
69,-0.010555,-0.025317,-0.009662
70,-0.033523,-0.009543,-0.009662
71,0.012412,-0.009543,0.004761
72,0.035379,-0.025317,0.004761
73,0.035379,0.006231,0.004761
