# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.976
# Requested Duration (s):,5.0
# Actual Duration (s):,5.048
# REST Calibration:,831.4595862068991,832.6049655172403,833.6698965517227
# MAX Calibration:,875.0000,896.0000,903.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,0.012412,-0.009543,0.004761
1,-0.010555,-0.009543,-0.009662
2,0.012412,-0.009543,0.004761
3,-0.010555,-0.025317,-0.009662
4,0.012412,-0.009543,-0.009662
5,0.012412,-0.009543,-0.009662
6,-0.010555,-0.009543,0.004761
7,-0.033523,0.006231,-0.009662
8,-0.033523,-0.009543,-0.009662
9,0.012412,0.006231,0.019185
10,0.012412,0.006231,-0.009662
11,-0.010555,-0.009543,0.004761
12,0.012412,-0.009543,0.004761
13,-0.010555,-0.009543,-0.009662
14,-0.010555,-0.009543,0.019185
15,0.012412,-0.025317,-0.009662
16,0.035379,-0.025317,-0.009662
17,0.035379,-0.025317,-0.024086
18,-0.033523,-0.009543,-0.024086
19,0.012412,-0.025317,-0.024086
20,0.035379,-0.009543,-0.009662
21,0.012412,0.006231,0.004761
22,-0.033523,-0.009543,0.004761
23,0.035379,-0.009543,-0.024086
24,0.012412,0.069328,0.004761
25,0.035379,-0.009543,0.004761
26,-0.010555,0.006231,-0.024086
27,0.012412,0.006231,0.004761
28,-0.010555,-0.009543,-0.009662
29,-0.033523,-0.009543,-0.009662
30,-0.033523,-0.009543,-0.009662
31,0.012412,-0.025317,0.004761
32,-0.010555,0.006231,0.019185
33,0.012412,0.006231,-0.009662
34,-0.010555,-0.025317,0.004761
35,0.035379,0.006231,-0.009662
36,0.012412,-0.025317,0.004761
37,0.012412,-0.009543,-0.009662
38,0.058346,-0.009543,0.004761
39,0.035379,0.022005,0.019185
40,0.012412,-0.025317,-0.009662
41,0.012412,-0.025317,-0.009662
42,0.035379,-0.009543,0.004761
43,-0.010555,-0.009543,-0.009662
44,0.035379,-0.009543,0.004761
45,-0.010555,-0.009543,0.004761
46,-0.033523,0.006231,0.019185
47,-0.05649,-0.009543,0.004761
48,-0.079457,-0.009543,0.004761
49,-0.033523,-0.009543,0.004761
50,-0.05649,-0.041091,-0.009662
51,-0.05649,-0.025317,-0.009662
52,-0.010555,-0.025317,-0.009662
53,-0.010555,-0.025317,-0.024086
54,0.058346,-0.025317,-0.009662
55,0.058346,0.006231,0.004761
56,0.058346,0.006231,0.004761
57,-0.010555,0.006231,-0.009662
58,-0.010555,0.006231,-0.009662
59,0.035379,-0.009543,0.019185
60,0.035379,-0.009543,-0.009662
61,0.058346,0.006231,0.004761
62,0.012412,-0.009543,-0.009662
63,0.035379,-0.025317,0.004761
64,-0.010555,-0.025317,0.004761
65,0.058346,-0.009543,-0.009662
66,0.012412,0.006231,-0.009662
67,0.012412,-0.009543,-0.009662
68,-0.033523,0.006231,0.019185
69,0.012412,0.006231,0.004761
70,-0.010555,-0.009543,-0.009662
71,-0.033523,-0.025317,-0.009662
72,0.012412,0.006231,-0.009662
73,0.035379,-0.009543,-0.009662
74,-0.05649,-0.025317,-0.009662
75,0.012412,-0.025317,-0.009662
76,0.035379,-0.009543,0.004761
77,0.012412,-0.009543,-0.009662
78,-0.05649,-0.025317,-0.024086
79,0.012412,-0.009543,0.004761
80,0.035379,-0.009543,-0.009662
81,0.035379,-0.009543,0.004761
82,0.012412,-0.009543,0.004761
83,0.035379,-0.025317,0.004761
84,0.012412,-0.009543,0.004761
85,0.012412,0.006231,-0.009662
86,-0.010555,-0.009543,0.019185
87,0.035379,-0.009543,0.004761
88,-0.033523,-0.009543,0.019185
89,0.012412,-0.009543,-0.009662
90,0.012412,-0.009543,0.004761
91,-0.010555,-0.009543,-0.009662
92,-0.033523,-0.009543,-0.009662
93,0.035379,-0.025317,0.004761
94,-0.033523,-0.025317,-0.009662
95,-0.033523,-0.009543,-0.009662
96,-0.033523,-0.009543,-0.024086
97,-0.010555,-0.025317,-0.024086
98,-0.033523,-0.025317,-0.009662
99,0.012412,-0.009543,0.019185
100,0.012412,0.006231,0.004761
101,0.035379,-0.009543,0.033609
102,0.012412,-0.009543,-0.009662
103,-0.010555,0.006231,-0.009662
104,-0.05649,-0.025317,0.004761
105,0.035379,-0.009543,-0.009662
106,0.081313,-0.009543,-0.009662
107,0.058346,0.006231,-0.009662
108,0.035379,-0.009543,-0.009662
109,0.035379,0.006231,-0.009662
110,0.081313,-0.025317,0.004761
111,-0.05649,0.006231,-0.009662
112,-0.125391,-0.009543,0.004761
113,-0.033523,-0.025317,0.004761
114,-0.010555,-0.025317,-0.009662
115,-0.102424,0.006231,0.004761
116,-0.125391,-0.009543,0.004761
117,-0.05649,-0.025317,-0.009662
118,0.035379,-0.009543,-0.024086
119,0.10428,-0.025317,-0.009662
120,0.150215,-0.009543,-0.009662
121,0.127248,0.006231,-0.009662
122,0.081313,0.006231,0.004761
123,0.10428,0.006231,-0.009662
124,0.035379,-0.025317,-0.024086
125,-0.010555,-0.041091,-0.009662
126,-0.05649,-0.025317,-0.009662
127,0.081313,-0.009543,0.004761
128,0.081313,-0.009543,0.019185
129,0.035379,-0.009543,-0.009662
130,0.012412,-0.009543,0.004761
131,-0.05649,0.006231,0.004761
132,-0.21726,-0.025317,-0.009662
133,-0.102424,0.006231,-0.009662
134,0.127248,0.006231,0.004761
135,0.219116,-0.009543,0.004761
136,0.127248,0.006231,0.004761
137,0.081313,-0.041091,0.004761
138,0.012412,-0.025317,0.004761
139,-0.05649,0.006231,-0.009662
140,-0.102424,-0.009543,-0.009662
141,-0.125391,-0.025317,0.004761
142,-0.010555,-0.041091,0.004761
143,-0.125391,-0.025317,0.019185
144,-0.05649,0.006231,0.004761
145,-0.033523,-0.025317,-0.009662
146,-0.05649,-0.025317,0.004761
147,-0.033523,-0.009543,-0.009662
148,-0.033523,-0.009543,0.004761
149,-0.05649,-0.025317,-0.009662
150,0.379886,-0.009543,-0.009662
151,0.586591,0.006231,-0.009662
152,0.563624,-0.009543,-0.024086
153,0.379886,-0.009543,0.004761
154,0.242083,0.006231,0.004761
155,0.058346,-0.009543,0.019185
156,-0.194293,-0.025317,-0.009662
157,-0.492866,-0.025317,-0.009662
158,-0.676603,-0.025317,-0.009662
159,-0.21726,-0.009543,0.004761
160,-0.079457,-0.009543,0.004761
161,-0.102424,-0.025317,-0.024086
162,-0.079457,-0.009543,-0.009662
163,-0.079457,-0.009543,-0.024086
164,-0.148358,-0.025317,0.004761
165,-0.171326,-0.009543,-0.009662
166,-0.102424,-0.009543,0.004761
167,-0.079457,-0.009543,-0.009662
168,-0.033523,0.006231,-0.009662
169,-0.033523,-0.009543,-0.009662
170,0.081313,-0.009543,-0.024086
171,0.10428,-0.009543,-0.009662
172,0.035379,-0.025317,0.004761
173,0.081313,-0.025317,0.004761
174,0.127248,-0.009543,0.004761
175,0.035379,-0.009543,-0.009662
176,0.035379,-0.009543,0.004761
177,0.012412,-0.025317,0.004761
178,0.058346,-0.009543,-0.009662
179,0.10428,-0.025317,-0.024086
180,0.081313,-0.009543,-0.009662
181,0.150215,0.006231,0.004761
182,0.127248,0.006231,0.004761
183,0.081313,-0.009543,-0.009662
184,-0.05649,-0.009543,-0.009662
185,-0.194293,-0.041091,-0.009662
186,-0.194293,-0.009543,0.004761
187,-0.079457,-0.009543,-0.009662
188,0.035379,0.006231,0.004761
189,0.012412,0.006231,0.004761
190,0.150215,-0.009543,-0.009662
191,0.242083,0.006231,0.004761
192,0.058346,0.006231,-0.009662
193,-0.010555,-0.025317,-0.009662
194,-0.010555,0.022005,0.004761
195,-0.010555,-0.009543,-0.009662
196,-0.033523,-0.009543,-0.009662
197,0.333952,-0.009543,-0.009662
198,0.310985,-0.041091,-0.009662
199,0.242083,-0.041091,-0.009662
200,0.356919,-0.009543,0.004761
201,0.10428,0.006231,0.004761
202,-0.05649,0.006231,0.004761
203,-0.286161,-0.025317,-0.009662
204,-0.69957,-0.025317,-0.024086
205,-0.561767,0.006231,-0.009662
206,-0.332096,0.006231,0.004761
207,-0.125391,-0.009543,0.004761
