# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.604
# Requested Duration (s):,5.0
# Actual Duration (s):,5.045
# REST Calibration:,831.9749657534268,832.2800684931498,831.8001369863033
# MAX Calibration:,884.0000,892.0000,887.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,0.000481,-0.105159,-0.014495
1,0.000481,-0.121903,-0.050727
2,-0.01874,-0.088414,0.021737
3,0.000481,-0.00469,0.003621
4,-0.01874,0.0288,0.003621
5,-0.01874,0.112524,-0.014495
6,0.000481,0.146014,-0.014495
7,0.000481,0.146014,0.021737
8,0.000481,0.129269,0.003621
9,0.000481,0.079034,-0.050727
10,0.000481,0.079034,-0.050727
11,0.000481,0.045545,-0.086959
12,-0.01874,0.0288,-0.014495
13,0.019703,0.0288,0.003621
14,0.000481,-0.00469,0.021737
15,0.019703,-0.00469,0.021737
16,0.000481,-0.021435,0.003621
17,-0.01874,-0.021435,-0.050727
18,-0.01874,-0.00469,-0.032611
19,-0.037962,-0.00469,-0.068843
20,0.000481,0.012055,-0.014495
21,-0.037962,0.045545,0.003621
22,0.000481,0.06229,0.057969
23,0.000481,0.012055,0.057969
24,0.000481,0.012055,0.021737
25,0.000481,0.012055,0.021737
26,0.019703,0.012055,0.003621
27,0.000481,0.012055,0.021737
28,0.000481,-0.038179,-0.032611
29,-0.01874,-0.021435,-0.014495
30,0.000481,-0.021435,0.003621
31,-0.01874,-0.021435,0.039853
32,0.000481,-0.021435,0.021737
33,-0.037962,-0.038179,0.003621
34,-0.01874,-0.00469,-0.032611
35,0.000481,-0.00469,-0.032611
36,-0.01874,0.012055,-0.032611
37,-0.01874,0.012055,-0.068843
38,-0.01874,0.012055,0.003621
39,-0.01874,-0.00469,0.003621
40,0.000481,-0.00469,-0.014495
41,-0.01874,0.0288,0.057969
42,0.000481,0.0288,0.021737
43,0.000481,-0.00469,0.021737
44,0.000481,-0.00469,0.003621
45,0.000481,-0.00469,0.021737
46,0.000481,0.012055,-0.014495
47,0.000481,0.012055,0.021737
48,0.019703,-0.00469,0.039853
49,0.019703,-0.021435,-0.014495
50,-0.01874,-0.021435,0.039853
51,-0.01874,-0.021435,0.003621
52,0.000481,-0.021435,-0.050727
53,0.000481,-0.021435,-0.050727
54,0.000481,-0.00469,-0.032611
55,-0.01874,-0.021435,-0.014495
56,0.000481,-0.00469,-0.032611
57,-0.01874,-0.00469,0.003621
58,0.000481,-0.00469,0.003621
59,-0.01874,0.012055,0.021737
60,-0.01874,0.012055,0.003621
61,-0.01874,0.012055,-0.032611
62,0.000481,-0.00469,-0.014495
63,0.000481,-0.00469,-0.014495
64,0.019703,0.0288,0.003621
65,0.000481,-0.00469,0.057969
66,0.000481,-0.00469,0.003621
67,0.000481,-0.00469,0.057969
68,0.000481,-0.00469,0.003621
69,-0.01874,0.012055,-0.014495
70,-0.037962,-0.021435,-0.032611
71,-0.01874,-0.038179,-0.050727
72,0.000481,-0.038179,-0.032611
73,-0.01874,-0.00469,-0.032611
74,0.000481,-0.00469,0.021737
75,-0.01874,-0.021435,0.003621
76,0.019703,-0.00469,0.039853
77,0.019703,-0.021435,-0.050727
78,-0.01874,-0.021435,-0.032611
79,0.000481,-0.038179,-0.050727
80,-0.01874,-0.021435,-0.050727
81,0.000481,-0.00469,-0.032611
82,-0.01874,-0.021435,-0.014495
83,-0.01874,-0.00469,-0.032611
84,-0.037962,-0.038179,-0.032611
85,-0.01874,-0.00469,-0.014495
86,0.019703,0.012055,-0.032611
87,-0.01874,-0.088414,-0.032611
88,0.000481,-0.121903,0.021737
89,0.000481,-0.121903,0.003621
90,0.000481,-0.054924,0.039853
91,0.000481,0.012055,0.094201
92,0.000481,0.095779,0.094201
93,0.000481,0.146014,0.076085
94,-0.01874,0.162759,0.021737
95,-0.01874,0.179503,-0.068843
96,0.019703,0.095779,-0.086959
97,0.000481,0.045545,-0.050727
98,0.000481,-0.00469,-0.068843
99,-0.01874,-0.054924,-0.014495
100,-0.037962,-0.054924,0.003621
101,-0.01874,-0.038179,-0.014495
102,-0.01874,-0.038179,-0.014495
103,0.000481,0.012055,-0.014495
104,0.000481,-0.00469,-0.032611
105,-0.01874,0.0288,-0.014495
106,0.000481,0.06229,-0.050727
107,0.000481,0.045545,-0.014495
108,0.019703,0.0288,0.021737
109,0.000481,0.045545,0.021737
110,0.000481,0.0288,0.039853
111,0.000481,0.0288,0.057969
112,0.019703,0.045545,0.057969
113,0.000481,0.06229,0.003621
114,0.019703,0.0288,-0.014495
115,0.000481,0.0288,0.003621
116,0.000481,-0.021435,-0.014495
117,0.019703,-0.038179,0.021737
118,0.000481,-0.021435,0.021737
119,0.000481,-0.00469,0.003621
120,-0.01874,-0.021435,0.039853
121,0.000481,-0.038179,0.003621
122,0.019703,-0.00469,-0.050727
123,0.000481,-0.00469,0.003621
124,0.000481,-0.021435,0.003621
125,-0.037962,-0.00469,0.039853
126,0.000481,-0.00469,0.076085
127,0.019703,-0.00469,0.057969
128,0.019703,0.012055,0.039853
129,0.019703,0.0288,0.003621
130,0.000481,0.0288,-0.014495
131,0.000481,-0.00469,-0.050727
132,-0.01874,-0.021435,-0.014495
133,-0.037962,-0.038179,-0.068843
134,-0.01874,-0.00469,-0.014495
135,-0.01874,0.012055,0.021737
136,-0.01874,-0.00469,-0.032611
137,-0.01874,-0.00469,0.003621
138,-0.01874,0.012055,0.003621
139,0.000481,0.012055,-0.032611
140,0.000481,0.012055,0.003621
141,0.000481,-0.00469,0.021737
142,0.000481,0.012055,0.003621
143,0.000481,-0.00469,0.003621
144,0.000481,0.012055,0.057969
145,0.000481,0.012055,-0.014495
146,0.000481,-0.021435,0.039853
147,0.000481,0.012055,-0.032611
148,0.000481,0.012055,-0.014495
149,-0.01874,-0.00469,0.003621
150,0.000481,-0.00469,-0.032611
151,0.000481,-0.00469,0.039853
152,-0.01874,-0.021435,0.021737
153,-0.01874,-0.00469,-0.032611
154,-0.01874,-0.021435,-0.014495
155,0.000481,0.012055,0.021737
156,-0.01874,-0.021435,-0.032611
157,0.000481,0.012055,-0.014495
158,0.000481,0.012055,-0.014495
159,0.000481,-0.021435,-0.032611
160,0.000481,0.012055,0.021737
161,-0.01874,-0.021435,0.021737
162,0.019703,-0.021435,0.076085
163,-0.037962,0.012055,0.021737
164,0.000481,0.012055,0.039853
165,0.000481,-0.00469,-0.014495
166,0.019703,-0.00469,0.003621
167,0.000481,-0.00469,0.021737
168,-0.037962,-0.021435,-0.014495
169,0.000481,0.012055,-0.014495
170,-0.037962,0.012055,0.003621
171,-0.01874,-0.038179,-0.032611
172,-0.01874,-0.038179,0.021737
173,0.000481,-0.021435,-0.050727
174,-0.037962,-0.00469,-0.068843
175,-0.01874,0.06229,-0.014495
176,0.000481,0.06229,0.003621
177,-0.01874,0.045545,0.003621
178,0.019703,0.045545,0.021737
179,0.019703,0.045545,0.003621
180,0.019703,0.0288,-0.032611
181,0.000481,-0.00469,-0.014495
182,0.000481,-0.00469,-0.032611
183,0.000481,0.012055,0.003621
184,0.038924,0.012055,0.021737
185,0.000481,-0.054924,0.039853
186,-0.01874,-0.071669,-0.014495
187,0.000481,-0.054924,0.003621
188,-0.01874,-0.021435,-0.032611
189,0.000481,-0.00469,-0.032611
190,-0.01874,-0.021435,-0.014495
191,0.000481,-0.00469,-0.032611
192,0.000481,0.045545,-0.014495
193,0.000481,-0.00469,-0.014495
194,0.000481,-0.00469,-0.014495
195,0.000481,0.0288,0.057969
196,-0.01874,0.0288,0.021737
197,0.019703,-0.00469,-0.014495
198,-0.01874,-0.021435,0.003621
199,0.019703,-0.021435,0.021737
200,0.000481,-0.054924,0.021737
201,0.019703,-0.038179,0.039853
202,-0.01874,-0.021435,0.021737
203,-0.01874,-0.021435,0.021737
204,-0.01874,0.012055,0.039853
205,0.000481,-0.054924,0.021737
206,0.038924,0.0288,-0.032611
207,0.019703,0.012055,-0.014495
208,0.000481,0.0288,0.003621
209,-0.01874,0.079034,0.039853
210,-0.01874,0.045545,0.039853
211,-0.01874,-0.00469,0.094201
212,0.000481,0.0288,0.021737
213,0.000481,-0.021435,0.039853
214,0.038924,-0.00469,0.003621
215,0.019703,-0.021435,-0.068843
216,0.019703,0.012055,-0.086959
217,-0.037962,0.0288,-0.086959
218,-0.01874,0.045545,-0.050727
219,-0.01874,0.129269,-0.014495
220,-0.037962,0.045545,-0.014495
221,0.000481,0.0288,0.021737
222,0.000481,0.0288,0.003621
223,0.000481,0.012055,0.003621
224,0.000481,0.06229,-0.014495
225,-0.01874,-0.00469,0.003621
226,0.038924,-0.00469,0.003621
227,0.019703,-0.00469,0.039853
228,-0.01874,-0.00469,0.076085
229,0.000481,0.012055,-0.014495
