# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.243
# Requested Duration (s):,5.0
# Actual Duration (s):,5.051
# REST Calibration:,831.9749657534268,832.2800684931498,831.8001369863033
# MAX Calibration:,884.0000,892.0000,887.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.01874,-0.021435,-0.014495
1,-0.01874,0.012055,-0.032611
2,-0.01874,0.0288,-0.050727
3,-0.01874,-0.00469,-0.050727
4,0.038924,-0.00469,-0.050727
5,0.000481,-0.038179,-0.050727
6,0.000481,0.012055,0.021737
7,0.019703,0.012055,0.021737
8,-0.01874,-0.00469,-0.032611
9,0.000481,0.012055,0.039853
10,0.000481,0.012055,0.021737
11,0.000481,-0.00469,0.003621
12,0.000481,-0.00469,0.021737
13,-0.01874,-0.021435,-0.014495
14,-0.01874,0.012055,0.003621
15,-0.037962,0.012055,0.003621
16,0.000481,0.012055,-0.014495
17,0.019703,-0.00469,-0.014495
18,0.019703,0.012055,0.039853
19,0.019703,0.012055,-0.014495
20,0.019703,0.012055,-0.032611
21,0.000481,-0.00469,0.039853
22,-0.01874,-0.00469,-0.014495
23,0.000481,-0.00469,0.003621
24,0.019703,-0.00469,0.021737
25,-0.01874,-0.00469,-0.014495
26,0.000481,-0.054924,0.021737
27,-0.01874,-0.054924,0.003621
28,0.019703,-0.021435,-0.050727
29,0.019703,-0.021435,-0.014495
30,-0.01874,-0.038179,0.003621
31,-0.01874,-0.038179,0.021737
32,0.000481,-0.021435,0.039853
33,0.019703,-0.00469,0.003621
34,0.000481,0.0288,0.021737
35,0.000481,0.079034,0.021737
36,-0.037962,-0.00469,0.003621
37,0.000481,-0.021435,-0.032611
38,0.019703,-0.00469,-0.032611
39,0.019703,0.0288,-0.068843
40,0.019703,0.012055,0.003621
41,-0.01874,0.012055,0.021737
42,-0.01874,0.0288,0.003621
43,-0.01874,0.045545,-0.032611
44,-0.01874,0.0288,-0.014495
45,0.000481,0.0288,-0.014495
46,-0.01874,0.045545,0.003621
47,-0.01874,-0.021435,0.021737
48,-0.01874,-0.038179,0.003621
49,0.019703,-0.038179,0.021737
50,-0.01874,-0.00469,-0.014495
51,0.000481,-0.00469,-0.032611
52,-0.01874,0.012055,0.003621
53,0.000481,0.0288,0.003621
54,0.000481,0.045545,-0.068843
55,0.019703,0.012055,0.021737
56,0.000481,-0.00469,0.003621
57,0.000481,-0.00469,0.039853
58,0.000481,0.012055,0.021737
59,0.000481,0.012055,0.057969
60,0.000481,0.012055,0.057969
61,0.000481,0.012055,0.021737
62,0.019703,0.0288,0.003621
63,0.000481,0.012055,0.003621
64,-0.01874,0.012055,-0.014495
65,0.000481,-0.00469,-0.014495
66,-0.01874,-0.00469,0.003621
67,-0.01874,0.012055,-0.032611
68,-0.01874,-0.021435,0.003621
69,0.000481,0.012055,-0.032611
70,0.019703,-0.021435,-0.014495
71,0.000481,-0.00469,0.003621
72,0.019703,-0.00469,-0.050727
73,0.000481,-0.038179,-0.050727
74,0.000481,-0.021435,-0.032611
75,0.000481,-0.021435,0.003621
76,0.000481,-0.021435,0.039853
77,0.000481,-0.021435,0.003621
78,0.019703,0.012055,-0.032611
79,0.000481,0.0288,0.003621
80,-0.01874,0.0288,0.003621
81,-0.01874,0.06229,-0.014495
82,0.000481,0.045545,0.003621
83,0.000481,0.012055,0.021737
84,-0.01874,-0.00469,-0.032611
85,0.000481,-0.00469,0.021737
86,0.000481,-0.00469,-0.050727
87,0.019703,-0.00469,-0.050727
